label,true_count,pred_count,correct,precision,recall,f1,avg_conf,anomaly_rate,false_pos,false_neg
age,1998,2127,1974,0.9280677009873061,0.987987987987988,0.957090909090909,0.6320043689742865,63.01301301301301,153,24
ethnicity,1990,2023,1943,0.9604547701433515,0.9763819095477387,0.9683528532270123,0.6615530632348141,54.57286432160804,80,47
gender,1993,1899,1716,0.9036334913112164,0.8610135474159558,0.8818088386433709,0.5895998903958057,71.90165579528349,183,277
not_cyberbullying,1986,1637,1043,0.6371411117898595,0.5251762336354482,0.5757659398288711,0.3541061982822688,99.34541792547836,594,943
other_cyberbullying,1956,2175,1334,0.6133333333333333,0.6820040899795501,0.6458484628419269,0.3254176079118709,98.3640081799591,841,622
religion,2000,2062,1929,0.9354995150339476,0.9645,0.949778434268833,0.5657639954568768,79.75,133,71
